CCAA,02/03/20 11:30,03/03/20 11:30,04/03/20 11:30,05/03/20 11:30,06/03/20 11:30,09/03/20 11:30,10/03/20 11:30,11/03/20 11:30,12/03/20 11:30,13/03/20 11:30,14/03/20 11:30,15/03/20 11:30,16/03/20 11:30,17/03/20 11:30,18/03/20 11:30
Andalucía,0,0,1,1,1,1,1,3,4,8,,,7,13,21
Aragón,0,0,0,1,1,1,3,3,3,3,,,1,9,9
Asturias,0,0,1,2,2,2,2,2,2,2,,,3,5,5
Baleares,0,0,0,0,0,0,1,1,2,2,,,4,4,4
Canarias,0,0,0,0,0,0,1,1,3,2,,,9,13,17
Cantabria,0,0,0,0,0,0,0,0,0,0,,,2,2,3
Castilla-La Mancha,0,0,1,1,1,2,2,5,9,10,,,23,23,29
Castilla y León,0,0,1,1,1,1,2,2,4,8,,,24,24,43
Cataluña,0,0,0,0,0,0,0,0,0,25,,,33,33,33
Ceuta,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Comunidad Valenciana,0,0,0,0,1,1,1,1,2,2,,,4,27,40
Extremadura,0,0,0,0,0,0,0,1,1,1,,,1,2,3
Galicia,0,0,0,0,0,0,2,2,2,2,,,9,9,12
Madrid,0,0,2,2,2,53,77,102,135,180,,,253,340,491
Melilla,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Murcia,0,0,0,0,0,0,0,0,1,1,,,2,3,4
Navarra,0,0,1,1,1,1,2,3,3,4,,,5,10,10
País Vasco,0,0,0,0,1,5,5,15,18,20,,,29,33,37
La Rioja,0,0,0,0,0,1,1,1,1,2,,,13,13,13
