CCAA,27/02/20 13:00,28/02/20 11:30,02/03/20 11:30,03/03/20 11:30,04/03/20 11:30,05/03/20 11:30,06/03/20 11:30,09/03/20 11:30,10/03/20 11:30,11/03/20 11:30,12/03/20 11:30,13/03/20 11:30,14/03/20 11:30,15/03/20 11:30,16/03/20 11:30,17/03/20 11:30,18/03/20 11:30
Andalucía,1,6,12,13,13,12,21,54,71,90,115,219,269,437,554,683,859
Aragón,0,1,0,0,0,1,6,13,38,45,64,80,80,147,174,207,226
Asturias,0,0,1,1,2,5,5,7,22,32,47,67,92,137,177,193,242
Baleares,1,1,2,2,5,6,6,11,13,16,22,30,28,28,73,92,112
Canarias,6,6,7,7,7,8,11,22,25,37,51,70,90,109,119,148,181
Cantabria,0,0,10,10,10,10,10,12,12,12,16,29,31,51,58,58,68
Castilla-La Mancha,0,0,3,7,12,13,15,26,39,71,115,194,289,401,567,567,675
Castilla y León,0,2,3,8,11,11,14,23,56,71,92,169,223,292,334,431,668
Cataluña,2,3,15,15,15,24,24,75,124,156,260,316,509,715,903,1394,1866
Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Comunidad Valenciana,2,8,15,15,19,19,30,37,50,65,76,94,130,409,409,541,726
Extremadura,0,0,6,6,6,6,6,7,8,9,19,39,66,95,111,153,194
Galicia,0,0,0,0,1,1,3,6,22,39,35,85,115,195,245,292,341
Madrid,4,5,29,49,70,90,137,469,782,1024,1388,1990,2940,3544,4165,4871,5637
Melilla,0,0,0,0,0,0,0,0,0,0,0,2,3,8,8,17,20
Murcia,0,0,0,0,0,0,0,4,9,11,26,35,47,71,77,97,122
Navarra,0,0,1,1,3,3,3,3,12,46,73,130,146,183,274,313,386
País Vasco,0,0,9,13,17,17,45,149,195,225,346,417,417,630,630,765,973
La Rioja,0,0,1,3,7,11,29,81,144,179,205,243,278,300,312,355,419
,,,,,,,,,,,,,,,,,
