CCAA,27/02/20 13:00,28/02/20 13:00,02/03/20 13:00,03/03/20 13:00,04/03/20 13:00,05/03/20 13:00,06/03/20 13:00,08/03/20 11:00,09/03/20 12:30,09/03/20 18:30,10/03/20 15:45,10/03/20 18:15,11/03/20 15:00,11/03/20 18:00,12/03/20 13:00,12/03/20 18:00,13/03/20 13:30,13/03/20 18:00,14/03/20 11:30,15/03/20 11:30,16/03/20 11:30,17/03/20 11:30
Andalucía,0,6,12,13,13,12,21,35,54,54,71,71,90,90,115,115,219,219,269,437,554,683
Aragón,0,1,0,0,0,1,6,13,13,30,38,38,45,49,64,64,80,80,80,147,174,207
Asturias,0,0,1,1,2,5,5,7,7,7,22,28,32,39,47,49,67,73,92,137,177,193
Baleares,0,1,2,2,5,6,6,8,11,11,13,13,16,16,22,22,30,30,28,28,73,92
Canarias,4,6,7,7,7,8,11,17,22,22,25,25,37,37,51,51,70,70,90,109,119,148
Cantabria,0,0,10,10,10,10,10,12,12,12,12,12,12,12,16,16,29,29,31,51,58,58
Castilla-La Mancha,0,0,3,7,12,13,15,15,26,26,39,39,71,71,115,115,194,194,289,401,567,567
Castilla y León,0,2,3,8,11,11,14,22,23,36,56,56,71,71,92,92,169,169,223,292,334,431
Cataluña,1,3,15,15,15,24,24,49,75,101,124,124,156,156,260,260,316,316,509,715,903,1394
Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Comunidad Valenciana,1,8,15,15,19,19,30,37,37,37,50,50,65,65,76,94,94,94,130,409,409,541
Extremadura,0,0,6,6,6,6,6,6,7,7,8,8,9,9,19,19,39,39,66,95,111,153
Galicia,0,0,0,0,1,1,3,5,6,19,22,22,39,39,35,35,85,85,115,195,245,292
Madrid,2,5,29,49,70,90,137,202,469,577,782,782,1024,1024,1388,1388,1990,1990,2940,3544,4165,4871
Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,8,17
Murcia,0,0,0,0,0,0,0,1,4,5,9,9,11,18,26,26,35,35,47,71,77,97
Navarra,0,0,1,1,3,3,3,3,3,12,12,12,46,46,73,92,130,130,146,183,274,313
País Vasco,0,0,9,13,17,17,45,102,149,149,195,195,225,225,346,346,417,417,417,630,630,765
La Rioja,0,0,1,3,7,11,29,55,81,102,144,155,179,185,205,220,243,259,278,300,312,355
,,,,,,,,,,,,,,,,,,,,,,
