CCAA,02/03/20 13:00,03/03/20 13:00,04/03/20 13:00,05/03/20 13:00,06/03/20 13:00,08/03/20 11:00,09/03/20 12:30,09/03/20 18:30,10/03/20 15:45,10/03/20 18:15,11/03/20 15:00,11/03/20 18:00,12/03/20 13:00,12/03/20 18:00,13/03/20 13:30,13/03/20 18:00,14/03/20 11:30,15/03/20 11:30,16/03/20 11:30,17/03/20 11:30
Andalucía,0,0,0,0,0,,0,,,0,,0,,0,0,,2,6,7,11
Aragón,0,0,0,0,1,,1,,,3,,4,,6,7,,7,7,11,12
Asturias,0,0,0,0,0,,0,,,0,,0,,1,1,,1,1,1,1
Baleares,0,0,0,0,0,,0,,,0,,0,,1,1,,1,1,1,1
Canarias,0,0,0,0,0,,0,,,0,,0,,0,0,,1,1,1,2
Cantabria,0,0,0,0,0,,0,,,0,,0,,0,0,,0,0,0,0
Castilla-La Mancha,0,0,0,0,0,,0,,,0,,0,,1,5,,6,10,17,17
Castilla y León,0,0,0,0,0,,0,,,0,,0,,0,1,,3,6,9,12
Cataluña,0,0,0,0,0,,1,,,3,,3,,4,4,,6,8,12,18
Ceuta,0,0,0,0,0,,0,,,0,,0,,0,0,,0,0,0,0
Comunidad Valenciana,0,0,1,1,1,,1,,,1,,1,,1,1,,4,5,5,13
Extremadura,0,0,0,0,0,,0,,,0,,0,,1,1,,2,2,2,3
Galicia,0,0,0,0,0,,0,,,0,,0,,0,0,,0,2,2,3
Madrid,0,0,0,1,2,,8,,,21,,31,,56,81,,86,213,213,355
Melilla,0,0,0,0,0,,0,,,0,,0,,0,0,,0,0,0,0
Murcia,0,0,0,0,0,,0,,,0,,0,,0,0,,0,0,0,0
Navarra,0,0,0,0,0,,0,,,0,,0,,0,0,,0,0,1,2
País Vasco,0,0,0,1,1,,5,,,6,,6,,11,14,,14,23,23,36
La Rioja,0,0,0,0,0,,0,,,1,,2,,2,2,,3,3,4,5
