fecha,codigo_iso_pais,nombre_pais,codigo_iso_ccaa,codigo_ine_ccaa,nombre_ccaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosCurados,casosConfirmadosDiario,casosUciDiario,casosFallecidosDiario
2020-04-06,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,371,153,32,23,49,,25,2,1
2020-04-06,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,862,367,56,31,104,,16,7,0
2020-04-06,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,1.046,401,48,37,84,,-972.954,2,5
2020-04-06,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,1501,808,85,114,129,,24,1,0
2020-04-06,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,288,143,25,16,18,,9,0,5
2020-04-06,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,934,490,46,52,61,,20,0,3
2020-04-06,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1916,1.087,96,121,258,,53,2,3
2020-04-06,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,1663,778,101,97,95,,61,1,4
2020-04-05,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,346,151,30,22,39,,27,3,0
2020-04-05,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,846,365,49,31,88,,50,1,4
2020-04-05,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,974,385,46,32,66,,82,13,2
2020-04-05,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,1477,787,84,114,101,,98,13,9
2020-04-05,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,279,140,25,11,18,,5,14,0
2020-04-05,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,914,475,46,49,60,,40,19,3
2020-04-05,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1863,1.057,94,118,211,,63,15,8
2020-04-05,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,1602,747,100,93,82,,67,32,18
2020-04-04,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,319,146,27,22,37,,18,2,2
2020-04-04,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,796,345,48,27,62,,42,6,5
2020-04-04,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,892,365,33,30,55,,110,1,5
2020-04-04,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,1379,727,71,105,47,,87,3,12
2020-04-04,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,274,132,11,11,8,,37,1,1
2020-04-04,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,874,459,27,46,39,,53,6,3
2020-04-04,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1800,1010,79,110,162,,75,2,12
