fecha,codigoIsoPais,nombrePais,codigoIsoCcaa,codigoIneCcaa,nombreCcaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosAislamiento,casosConfirmadosDiario,casosHospitalizadosDiario,casosUCIDiario,casosFallecidosDiario
2020-04-21,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,608,245,37,81,137,,7,0,1,1
2020-04-21,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,544,229,32,67,121,,3,2,0,2
2020-04-21,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3722,1781,180,494,914,,44,25,1,3
2020-04-20,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,601,245,36,80,137,,16,5,0,0
2020-04-20,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,541,227,32,65,117,,1,2,0,1
2020-04-20,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3678,1756,179,491,913,,35,20,2,17
2020-04-19,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,585,240,36,80,135,,8,4,0,2
2020-04-19,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,540,225,32,64,118,,3,1,0,0
2020-04-19,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3643,1736,177,474,911,,58,30,3,16
2020-04-18,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,577,236,36,78,128,,33,10,1,2
2020-04-18,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,537,224,32,64,113,,10,3,0,5
2020-04-18,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3585,1706,174,458,869,,225,90,7,32
2020-04-17,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,544,226,35,76,125,,6,3,1,0
2020-04-17,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,527,221,32,59,133,,9,8,0,3
2020-04-17,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3360,1616,167,426,845,,59,27,-52,16
2020-04-16,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,538,223,34,76,120,,9,6,1,0
2020-04-16,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,518,213,32,56,122,,10,4,0,2
2020-04-16,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3301,1589,219,410,820,,52,24,3,27
2020-04-15,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,529,217,33,76,116,,21,4,1,7
2020-04-15,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,508,209,32,54,118,,6,3,0,2
2020-04-15,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3249,1565,216,383,768,,63,32,1,13
2020-04-14,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,508,213,32,69,113,,3,5,2,1
2020-04-14,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,502,206,32,52,118,,6,2,0,2
2020-04-14,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3186,1533,215,370,722,,49,21,4,25
2020-04-13,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,505,208,30,68,106,,3,3,1,1
2020-04-13,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,496,204,32,50,113,,32,1,0,2
2020-04-13,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3137,1512,211,345,717,,80,31,1,-361
2020-04-12,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,502,205,29,67,103,,11,2,0,1
2020-04-12,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,464,203,32,48,115,,5,1,1,5
2020-04-12,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,3057,1481,210,706,334,,81,38,5,391
2020-04-11,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,491,203,29,66,97,,13,2,1,2
2020-04-11,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,459,202,31,43,113,,36,5,1,2
2020-04-11,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2976,1443,205,315,668,,87,31,1,12
2020-04-10,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,478,201,28,64,83,,34,8,0,6
2020-04-10,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,423,197,30,41,107,,7,4,0,2
2020-04-10,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2889,1412,204,303,597,,101,44,2,16
2020-04-09,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,444,193,28,58,74,,16,3,0,7
2020-04-09,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,416,193,30,39,101,,10,2,1,5
2020-04-09,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2788,1368,202,287,534,,109,44,5,24
2020-04-08,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,428,190,28,51,68,,9,5,1,9
2020-04-08,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,406,191,29,34,99,,10,4,2,2
2020-04-08,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2679,1324,197,263,484,,80,44,5,26
