fecha,codigoIsoPais,nombrePais,codigoIsoCcaa,codigoIneCcaa,nombreCcaa,lat,long,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosRecuperados,casosConfirmadosDiario,casosHospitalizadosDiario,casosUCIDiario,casosFallecidosDiario
2020-04-23,ES,España,ES-AN,1,Andalucía,37.46327438,-4.575625136,11845,5616,702,1079,3847,235,51,6,29
2020-04-23,ES,España,ES-AR,2,Aragón,41.51953555,-0.659846412,5237,2340,253,681,1680,183,36,1,25
2020-04-23,ES,España,ES-AS,3,Asturias,43.29235786,-5.993509325,2453,1705,130,223,665,34,40,2,12
2020-04-23,ES,España,ES-IB,4,Baleares,39.57518899,2.912291721,1861,1022,167,168,1047,25,17,1,4
2020-04-23,ES,España,ES-CN,5,Canarias,28.33979859,-15.67209842,2113,855,169,121,969,19,14,5,0
2020-04-23,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,2206,965,78,173,850,46,9,0,6
2020-04-23,ES,España,ES-CM,8,Castilla-La Mancha,39.58098963,-3.004627772,17557,8304,546,2188,4577,236,61,9,48
2020-04-23,ES,España,ES-CL,7,Castilla y León,41.75439621,-4.78188694,17402,7397,508,1582,5777,563,133,3,28
2020-04-23,ES,España,ES-CT,9,Cataluña,41.79855378,1.529053485,44892,23647,2478,4343,15477,1090,352,18,96
2020-04-23,ES,España,ES-CE,18,Ceuta,35.89340699,-5.343424039,118,9,4,4,76,0,0,0,0
2020-04-23,ES,España,ES-VC,10,Comunidad Valenciana,39.40155846,-0.5547267325,10692,4917,650,1124,5388,154,21,1,18
2020-04-23,ES,España,ES-EX,11,Extremadura,39.19149925,-6.15082693,3260,1375,113,407,1237,30,26,1,3
2020-04-23,ES,España,ES-GA,12,Galicia,42.75679663,-7.910563441,8805,2694,92,375,1676,171,20,-4,7
2020-04-23,ES,España,ES-MD,13,Madrid,40.49508296,-3.717040066,60487,7077,981,7684,33645,1288,-387,-43,107
2020-04-23,ES,España,ES-ML,19,Melilla,35.29082799,-2.950535523,106,44,3,2,55,1,0,0,0
2020-04-23,ES,España,ES-MC,14,Murcia,38.00236791,-1.485758575,1721,624,104,124,766,26,2,0,1
2020-04-23,ES,España,ES-NC,15,Navarra,42.66720115,-1.646111769,4994,1907,129,409,1445,95,13,1,8
2020-04-23,ES,España,ES-PV,16,País Vasco,43.04336306,-2.616817921,13436,6260,516,1167,8136,392,59,3,43
2020-04-23,ES,España,ES-RI,17,La Rioja,42.27487336,-2.51703984,3839,1331,82,303,1937,47,13,1,5
2020-04-22,ES,España,ES-AN,1,Andalucía,37.46327438,-4.575625136,11610,5565,696,1050,3569,163,56,4,33
2020-04-22,ES,España,ES-AR,2,Aragón,41.51953555,-0.659846412,5054,2304,252,656,1530,116,33,2,13
2020-04-22,ES,España,ES-AS,3,Asturias,43.29235786,-5.993509325,2419,1665,128,211,642,54,39,6,9
2020-04-22,ES,España,ES-IB,4,Baleares,39.57518899,2.912291721,1836,1005,166,164,1017,28,19,5,3
2020-04-22,ES,España,ES-CN,5,Canarias,28.33979859,-15.67209842,2094,841,164,121,927,9,4,0,1
2020-04-22,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,2160,956,78,167,718,37,8,0,2
2020-04-22,ES,España,ES-CM,8,Castilla-La Mancha,39.58098963,-3.004627772,17321,8243,537,2140,4337,276,44,3,65
2020-04-22,ES,España,ES-CL,7,Castilla y León,41.75439621,-4.78188694,16839,7264,505,1554,5614,580,90,2,33
2020-04-22,ES,España,ES-CT,9,Cataluña,41.79855378,1.529053485,43802,23295,2460,4247,15089,690,499,23,95
2020-04-22,ES,España,ES-CE,18,Ceuta,35.89340699,-5.343424039,118,9,4,4,76,7,0,0,0
2020-04-22,ES,España,ES-VC,10,Comunidad Valenciana,39.40155846,-0.5547267325,10538,4896,649,1106,5011,454,30,1,17
2020-04-22,ES,España,ES-EX,11,Extremadura,39.19149925,-6.15082693,3230,1349,112,404,1051,34,22,0,7
2020-04-22,ES,España,ES-GA,12,Galicia,42.75679663,-7.910563441,8634,2674,96,368,1625,166,22,-5,8
2020-04-22,ES,España,ES-MD,13,Madrid,40.49508296,-3.717040066,59199,7464,1024,7577,33032,1202,-466,-52,117
2020-04-22,ES,España,ES-ML,19,Melilla,35.29082799,-2.950535523,105,44,3,2,50,0,0,0,0
2020-04-22,ES,España,ES-MC,14,Murcia,38.00236791,-1.485758575,1695,622,104,123,761,14,8,0,3
2020-04-22,ES,España,ES-NC,15,Navarra,42.66720115,-1.646111769,4899,1894,128,401,1316,118,17,0,4
2020-04-22,ES,España,ES-PV,16,País Vasco,43.04336306,-2.616817921,13044,6201,513,1124,7651,234,60,6,21
2020-04-22,ES,España,ES-RI,17,La Rioja,42.27487336,-2.51703984,3792,1318,81,298,1899,29,21,0,4
2020-04-21,ES,España,ES-AN,1,Andalucía,37.46327438,-4.575625136,11447,5509,692,1017,3411,124,36,2,4
2020-04-21,ES,España,ES-AR,2,Aragón,41.51953555,-0.659846412,4938,2271,250,643,1182,52,27,2,6
2020-04-21,ES,España,ES-AS,3,Asturias,43.29235786,-5.993509325,2365,1626,122,202,616,17,27,0,2
2020-04-21,ES,España,ES-IB,4,Baleares,39.57518899,2.912291721,1808,986,161,161,1005,20,23,0,4
2020-04-21,ES,España,ES-CN,5,Canarias,28.33979859,-15.67209842,2085,837,164,120,878,18,11,1,1
2020-04-21,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,2123,948,78,165,646,40,14,0,7
2020-04-21,ES,España,ES-CM,8,Castilla-La Mancha,39.58098963,-3.004627772,17045,8199,534,2075,4242,249,26,3,54
2020-04-21,ES,España,ES-CL,7,Castilla y León,41.75439621,-4.78188694,16259,7174,503,1521,5429,402,94,2,28
2020-04-21,ES,España,ES-CT,9,Cataluña,41.79855378,1.529053485,43112,22796,2437,4152,14446,1436,421,28,143
2020-04-21,ES,España,ES-CE,18,Ceuta,35.89340699,-5.343424039,111,9,4,4,73,0,0,0,0
2020-04-21,ES,España,ES-VC,10,Comunidad Valenciana,39.40155846,-0.5547267325,10084,4866,648,1089,4719,66,39,2,10
2020-04-21,ES,España,ES-EX,11,Extremadura,39.19149925,-6.15082693,3196,1327,112,397,921,10,21,0,8
2020-04-21,ES,España,ES-GA,12,Galicia,42.75679663,-7.910563441,8468,2652,101,360,1588,169,43,-7,8
2020-04-21,ES,España,ES-MD,13,Madrid,40.49508296,-3.717040066,57997,7930,1076,7460,32277,1034,-261,-35,109
2020-04-21,ES,España,ES-ML,19,Melilla,35.29082799,-2.950535523,105,44,3,2,46,1,0,0,0
2020-04-21,ES,España,ES-MC,14,Murcia,38.00236791,-1.485758575,1681,614,104,120,702,35,2,1,3
2020-04-21,ES,España,ES-NC,15,Navarra,42.66720115,-1.646111769,4781,1877,128,397,1190,84,21,0,12
2020-04-21,ES,España,ES-PV,16,País Vasco,43.04336306,-2.616817921,12810,6141,507,1103,7277,182,32,6,22
2020-04-21,ES,España,ES-RI,17,La Rioja,42.27487336,-2.51703984,3763,1297,81,294,1866,29,15,2,9
2020-04-20,ES,España,ES-AN,1,Andalucía,37.46327438,-4.575625136,11323,5473,690,1013,3229,118,49,3,20
2020-04-20,ES,España,ES-AR,2,Aragón,41.51953555,-0.659846412,4886,2244,248,637,1178,55,28,2,18
2020-04-20,ES,España,ES-AS,3,Asturias,43.29235786,-5.993509325,2348,1599,122,200,599,50,28,2,4
2020-04-20,ES,España,ES-IB,4,Baleares,39.57518899,2.912291721,1788,963,161,157,1005,15,8,1,2
2020-04-20,ES,España,ES-CN,5,Canarias,28.33979859,-15.67209842,2067,826,163,119,813,20,1,1,0
2020-04-20,ES,España,ES-CB,6,Cantabria,43.19751954,-4.030012132,2083,934,78,158,626,33,10,0,5
2020-04-20,ES,España,ES-CM,8,Castilla-La Mancha,39.58098963,-3.004627772,16796,8173,531,2021,4178,171,36,13,58
2020-04-20,ES,España,ES-CL,7,Castilla y León,41.75439621,-4.78188694,15857,7080,501,1493,5366,236,99,3,35
2020-04-20,ES,España,ES-CT,9,Cataluña,41.79855378,1.529053485,41676,22375,2409,4009,13934,1076,140,14,76
2020-04-20,ES,España,ES-CE,18,Ceuta,35.89340699,-5.343424039,111,9,4,4,74,2,0,0,0
2020-04-20,ES,España,ES-VC,10,Comunidad Valenciana,39.40155846,-0.5547267325,10018,4827,646,1079,4629,81,46,3,14
2020-04-20,ES,España,ES-EX,11,Extremadura,39.19149925,-6.15082693,3186,1306,112,389,858,50,28,0,5
2020-04-20,ES,España,ES-GA,12,Galicia,42.75679663,-7.910563441,8299,2609,108,352,1548,114,19,-4,6
2020-04-20,ES,España,ES-MD,13,Madrid,40.49508296,-3.717040066,56963,8191,1111,7351,31762,2079,-100,-12,112
2020-04-20,ES,España,ES-ML,19,Melilla,35.29082799,-2.950535523,104,44,3,2,46,0,0,0,0
2020-04-20,ES,España,ES-MC,14,Murcia,38.00236791,-1.485758575,1646,612,103,117,662,2,0,1,1
2020-04-20,ES,España,ES-NC,15,Navarra,42.66720115,-1.646111769,4697,1856,128,385,1123,76,13,1,16
