CCAA;FECHA;CASOS;PCR+;TestAc+;Hospitalizados;UCI;Fallecidos;Recuperados
AN;;;;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;1;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;0;;;;;;
CE;;;;;;;;
VC;;;;;26;0;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;0;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;1;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;0;;;;;;
CE;;;;;;;;
VC;;;;;30;1;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;0;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;1;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;0;;;;;;
CE;;;;;;;;
VC;;;;;33;1;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;0;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;1;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;0;;;;;;
CE;;;;;;;;
VC;;;;;38;2;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;0;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;2;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;0;;;;;;
CE;;;;;;;;
VC;;;;;49;2;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;0;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;0;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;5;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;1;;;;;;
CE;;;;;;;;
VC;;1;;;58;2;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;1;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;1;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;6;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;2;;;;;;
CE;;;;;;;;
VC;;2;;;63;3;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;5;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;6;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;1;;;;;;
CN;;6;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;0;;;;;;
CT;;3;;;;;;
CE;;;;;;;;
VC;;8;;;73;3;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;9;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;;;;;;;
RI;;;;;;;;
AN;;;8;;;;;
AR;;;;;;;;
AS;;;;;;;;
IB;;2;;;;;;
CN;;6;;;;;;
CB;;;;;;;;
CM;;;;;;;;
CL;;2;;;;;;
CT;;5;;;;;;
CE;;;;;;;;
VC;;10;;;78;3;;
EX;;;;;;;;
GA;;;;;;;;
MD;;;19;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;;;;;;;
PV;;2;;;;;;
RI;;;;;;;;
AN;;;12;;;;;
AR;;;;;;;;
AS;;1;;;;;;
IB;;2;;;;;;
CN;;7;;;;;;
CB;;1;;;;;;
CM;;1;;;;;;
CL;;2;;;;;;
CT;;6;;;;;;
CE;;;;;;;;
VC;;15;;;85;3;;
EX;;4;;;;;;
GA;;;;;;;;
MD;;;26;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;1;;;;;;
PV;;3;;;;;;
RI;;;;;;;;
AN;;;12;;;;;
AR;;;;;;;;
AS;;1;;;;;;
IB;;2;;;;;;
CN;;7;;;;;;
CB;;10;;;;;;
CM;;3;;;;;;
CL;;2;;;;;;
CT;;15;;;;;;
CE;;;;;;;;
VC;;15;;;88;3;;
EX;;6;;;;;;
GA;;;;;;;;
MD;;;51;;;;;
ML;;;;;;;;
MC;;;;;;;;
NC;;1;;;;;;
PV;;9;;;;;;
RI;;1;;;;;;
AN;;;12;;;;;
AR;;0;;;;;;
AS;;1;;;;;;
IB;;2;;;;;;
CN;;7;;;;;;
CB;;10;;;;;;
CM;;7;;;;;;
CL;;7;;;;;;
CT;;15;;;;;;
CE;;0;;;;;;
VC;;15;;;93;3;;
EX;;6;;;;;;
GA;;0;;;;;;
MD;;;93;;;;;
ML;;0;;;;;;
MC;;0;;;;;;
NC;;1;;;;;;
PV;;13;;;;;;
RI;;3;;;;;;
AN;;;12;;;;;
AR;;0;;;;;;
AS;;2;;;;;;
IB;;5;;;;;;
CN;;7;;;;;;
CB;;10;;;;;;
CM;;12;;;;;;
CL;;8;;;;;;
CT;;15;;;;;;
CE;;0;;;;;;
VC;;19;;;105;5;;
EX;;6;;;;;;
GA;;1;;;;;;
MD;;;139;;;;;
ML;;0;;;;;;
MC;;0;;;;;;
NC;;3;;;;;;
PV;;17;;;;;;
RI;;7;;;;;;
AN;;;12;;;;;
AR;;1;;;;;;
AS;;5;;;;;;
IB;;6;;;;;;
CN;;8;;;;;;
CB;;10;;;;;;
CM;;13;;;;;;
CL;;12;;;;;;
CT;;24;;;;;;
CE;;0;;;;;;
VC;;19;;;117;6;;
EX;;6;;;;;;
GA;;1;;;;;;
MD;;;193;;;;;
ML;;0;;;;;;
MC;;0;;;;;;
NC;;3;;;;;;
PV;;17;;;;;;
RI;;11;;;;;;
AN;;;21;;;;;
AR;;6;;;;;;
AS;;5;;;;;;
IB;;6;;;;;;
CN;;11;;;;;;
CB;;10;;;;;;
CM;;15;;;;;;
CL;;13;;;;;;
CT;;24;;;;;;
CE;;0;;;;;;
VC;;30;;;130;8;;
EX;;6;;;;;;
GA;;3;;;;;;
MD;;;305;;;;;
ML;;0;;;;;;
MC;;0;;;;;;
NC;;3;;;;;;
PV;;45;;;;;;
RI;;29;;;;;;
AN;;;27;;;;;
AR;;11;;;;;;
AS;;5;;;;;;
IB;;6;;;;;;
CN;;11;;;;;;
CB;;10;;;;;;
CM;;15;;;;;;
CL;;14;;;;;;
CT;;24;;;;;;
CE;;0;;;;;;
VC;;30;;;138;8;;
EX;;6;;;;;;
GA;;3;;;;;;
MD;;;506;;;;;
ML;;0;;;;;;
MC;;0;;;;;;
NC;;3;;;;;;
PV;;45;;;;;;
RI;;39;;;;;;
AN;;;34;;;;;
AR;;11;;;;;;
AS;;7;;;;;;
IB;;8;;;;;;
CN;;17;;;;;;
CB;;12;;;;;;
CM;;15;;;;;;
CL;;21;;;;;;
CT;;49;;;;;;
CE;;0;;;;;;
VC;;37;;;146;9;;
EX;;6;;;;;;
GA;;5;;;;;;
MD;;;727;;;;;
ML;;0;;;;;;
MC;;1;;;;;;
NC;;3;;;;;;
PV;;70;;;;;;
RI;;55;;;;;;
AN;;;54;;;1;0;11
AR;;13;;;;3;3;
AS;;7;;;;2;0;
IB;;11;;;;1;0;2
CN;;22;;;;0;0;4
CB;;12;;;;0;0;
CM;;26;;;;2;0;2
CL;;30;;;;2;0;
CT;;59;;;16;5;2;2
CE;;0;;;;0;0;
VC;;37;;;153;9;1;1
EX;;7;;;;0;0;1
GA;;6;;;;2;0;
MD;;;988;;;53;16;
ML;;0;;;;0;0;
MC;;4;;;;0;0;
NC;;3;;;;1;0;
PV;;149;;;;5;6;2
RI;;81;;;;1;0;
AN;;;71;;;1;0;11
AR;;38;;;;3;4;0
AS;;22;;;;2;0;1
IB;;13;;;;1;0;3
CN;;25;;;;1;0;5
CB;;12;;;;0;0;
CM;;39;;;;3;0;2
CL;;40;;;;2;0;
CT;;82;;;31;7;2;5
CE;;;;;;0;0;
VC;;50;;;171;10;1;1
EX;;8;;;;0;0;1
GA;;22;;;;2;0;
MD;;;1491;;;77;21;109
ML;;;;;;0;0;
MC;;9;;;;0;0;
NC;;12;;;;2;0;
PV;;195;;;;5;6;2
RI;;144;;;;1;1;
AN;;;90;;32;3;0;11
AR;;45;;;22;3;4;0
AS;;32;;;12;2;0;1
IB;;16;;;8;1;0;1
CN;;37;;;10;1;0;5
CB;;12;;;0;0;0;0
CM;;71;;;0;5;0;2
CL;;64;;;14;2;0;0
CT;;123;;;50;8;3;6
CE;;0;;;0;0;0;0
VC;;65;;;200;12;1;1
EX;;9;;;2;1;1;1
GA;;35;;;7;2;0;0
MD;;;2192;;0;102;31;157
ML;;0;;;0;0;0;0
MC;;11;;;4;0;0;0
NC;;46;;;10;3;0;0
PV;;225;;;102;15;6;2
RI;;179;;;13;1;2;1
AN;;;115;;50;4;0;11
AR;;64;;;28;3;6;0
AS;;47;;;12;2;1;1
IB;;22;;;8;2;1;1
CN;;51;;;15;3;0;5
CB;;16;;;3;0;0;6
CM;;115;;;39;9;1;2
CL;;71;;;24;2;0;0
CT;;202;;;74;16;6;12
CE;;0;;;0;0;0;0
VC;;76;;;232;15;1;1
EX;;19;;;2;1;1;3
GA;;35;;;7;2;0;0
MD;;;2912;;0;135;56;157
ML;;0;;;0;0;0;0
MC;;26;;;5;1;0;0
NC;;73;;;17;3;0;0
PV;;346;;;146;18;11;1
RI;;205;;;21;1;2;1
AN;;;219;;92;8;0;0
AR;;80;;;30;3;7;0
AS;;67;;;16;2;1;1
IB;;28;;;9;2;1;1
CN;;70;;;15;3;0;5
CB;;29;;;3;0;0;7
CM;;194;;;78;10;5;1
CL;;92;;;25;4;0;1
CT;;349;;;137;22;9;19
CE;;0;;;0;0;0;0
VC;;94;;;271;22;1;2
EX;;39;;;3;1;1;3
GA;;85;;;15;2;0;0
MD;;;3693;;1304;180;81;157
ML;;2;;;3;0;0;0
MC;;35;;;8;2;0;0
NC;;130;;;28;4;0;0
PV;;417;;;179;20;14;2
RI;;243;;;27;2;3;1
AN;;;269;;92;8;2;0
AR;;121;;;42;5;7;0
AS;;92;;;16;2;1;1
IB;;28;;;9;2;1;1
CN;;90;;;15;6;1;7
CB;;31;;;3;0;0;7
CM;;289;;;78;10;6;5
CL;;169;;;25;8;1;2
CT;;558;;;200;29;13;32
CE;;0;;;0;0;0;0
VC;;130;;;307;29;4;2
EX;;66;;;3;1;2;4
GA;;115;;;32;7;0;3
MD;;;4633;;1518;180;86;474
ML;;3;;;3;0;0;0
MC;;47;;;8;2;0;0
NC;;146;;;28;4;0;0
PV;;521;;;179;22;14;5
RI;;278;;;38;2;3;1
AN;;;437;;92;8;6;0
AR;;147;;;59;5;7;0
AS;;137;;;16;3;1;1
IB;;42;;;9;2;1;1
CN;;109;;;15;6;1;7
CB;;51;;;3;0;0;10
CM;;401;;;78;10;10;5
CL;;223;;;45;8;3;3
CT;;742;;;287;40;15;39
CE;;1;;;0;0;0;0
VC;;409;;;339;37;5;2
EX;;95;;;8;1;2;4
GA;;195;;;32;8;2;4
MD;;;5528;;2337;253;213;474
ML;;8;;;4;0;0;0
MC;;71;;;13;2;0;0
NC;;183;;;34;4;0;0
PV;;630;;;262;29;23;5
RI;;300;;;58;7;3;1
AN;;;554;;197;11;7;0
AR;;174;;;64;7;11;0
AS;;177;;;16;3;1;3
IB;;73;;;21;4;1;1
CN;;119;;;40;9;1;7
CB;;58;;;18;2;0;10
CM;;567;;;207;23;17;12
CL;;292;;;45;8;6;5
CT;;1017;;;375;52;20;45
CE;;1;;;0;0;0;0
VC;;409;;;390;47;5;2
EX;;111;;;9;1;2;4
GA;;245;;;49;9;2;4
MD;;;6339;;2337;253;213;474
ML;;8;;;4;0;0;0
MC;;77;;;13;2;0;1
NC;;274;;;58;5;1;0
PV;;630;;;262;29;23;5
RI;;312;;;64;13;4;2
AN;;;683;;229;13;11;0
AR;;207;;;74;9;12;0
AS;;193;;;34;5;1;3
IB;;92;;;26;4;1;1
CN;;148;;;56;13;2;8
CB;;58;;;18;2;0;10
CM;;567;;;207;23;17;12
CL;;431;;;95;24;12;5
CT;;1414;;;525;73;23;58
CE;;1;;;0;0;0;0
VC;;541;;;456;52;13;12
EX;;153;;;18;2;3;5
GA;;292;;;49;9;3;7
MD;;;7593;;3710;340;355;951
ML;;17;;;4;0;0;0
MC;;97;;;18;3;0;1
NC;;313;;;72;10;2;0
PV;;765;;;309;33;36;11
RI;;355;;;82;13;5;2
AN;;;859;;319;21;19;38
AR;;226;;;81;9;13;0
AS;;242;;;45;5;1;4
IB;;112;;;29;4;1;4
CN;;181;;;73;17;3;8
CB;;68;;;25;3;1;10
CM;;675;;;277;29;28;15
CL;;668;;;281;43;22;5
CT;;1866;;;679;101;33;79
CE;;1;;;0;0;0;0
VC;;726;;;530;65;22;16
EX;;194;;;27;3;6;6
GA;;341;;;63;12;3;7
MD;;;9534;;3778;491;390;951
ML;;20;;;4;0;0;0
MC;;122;;;22;4;0;1
NC;;386;;;93;10;3;0
PV;;973;;;353;37;40;14
RI;;419;;;99;13;5;2
AN;;;1008;;384;25;23;33
AR;;281;;;101;14;15;0
AS;;292;;;61;6;1;4
IB;;169;;;31;7;2;6
CN;;220;;;82;23;3;9
CB;;83;;;40;4;1;10
CM;;801;;;313;37;42;27
CL;;868;;;362;54;29;27
CT;;2702;;;825;118;53;103
CE;;1;;;0;0;0;0
VC;;921;;;647;85;24;19
EX;;241;;;36;3;8;6
GA;;453;;;100;15;4;4
MD;;;11278;;5168;590;498;941
ML;;23;;;4;0;0;0
MC;;167;;;36;6;0;1
NC;;482;;;132;11;4;0
PV;;1190;;;455;44;53;18
RI;;468;;;121;15;5;2
AN;;;1287;;501;38;30;36
AR;;360;;;127;28;17;0
AS;;344;;;87;7;2;12
IB;;203;;;48;10;2;10
CN;;287;;;115;25;4;9
CB;;144;;;61;7;1;10
CM;;1044;;;313;37;42;27
CL;;1147;;;476;69;43;37
CT;;3270;;;994;175;93;147
CE;;5;;;0;0;0;0
VC;;1105;;;777;101;33;20
EX;;297;;;44;4;10;7
GA;;578;;;138;19;5;5
MD;;;13324;;6338;678;628;1186
ML;;24;;;5;1;0;0
MC;;204;;;47;11;0;1
NC;;554;;;172;19;5;1
PV;;1465;;;550;53;71;21
RI;;497;;;122;15;7;13
AN;;;1515;;605;53;40;36
AR;;424;;;192;33;22;0
AS;;486;;;133;12;5;16
IB;;246;;;60;14;4;11
CN;;348;;;139;29;7;7
CB;;215;;;92;9;2;11
CM;;1423;;;635;65;84;38
CL;;1466;;;629;85;55;54
CT;;4203;;;1681;271;122;192
CE;;5;;;0;0;0;0
VC;;1363;;;947;129;50;25
EX;;354;;;65;6;12;8
GA;;739;;;168;29;9;6
MD;;;15639;;7388;767;804;1542
ML;;25;;;8;1;0;0
MC;;240;;;61;14;1;1
NC;;664;;;222;25;9;1
PV;;1725;;;654;71;85;165
RI;;564;;;128;17;15;18
AN;;;1725;;724;55;47;38
AR;;532;;;241;45;24;3
AS;;545;;;171;15;8;20
IB;;331;;;79;14;4;17
CN;;414;;;150;32;9;7
CB;;282;;;116;9;5;11
