fecha,codigoIsoPais,nombrePais,codigoIsoCcaa,codigoIneCcaa,nombreCcaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosAislamiento,casosConfirmadosDiario,casosHospitalizadosDiario,casosUCIDiario,casosFallecidosDiario
2020-04-13,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,3212,420,120,342,1046,,79,0,-1,11
2020-04-13,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,1116,222,38,109,270,,27,-10,-3,6
2020-04-13,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,4727,786,158,425,1487,,113,-9,0,21
2020-04-12,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,3133,420,121,331,990,,140,-2,-3,4
2020-04-12,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,1089,232,41,103,246,,35,2,-2,4
2020-04-12,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,4614,795,158,404,1388,,88,-10,-7,12
2020-04-11,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2993,422,124,327,764,,31,-29,-6,9
2020-04-11,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,1054,230,43,99,24,,57,18,2,0
2020-04-11,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,4526,805,165,392,1301,,159,-43,-10,13
2020-04-10,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2962,451,130,318,705,,112,-36,-1,8
2020-04-10,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,997,212,41,99,217,,76,-7,0,3
2020-04-10,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,4367,848,175,379,1163,,179,-62,-1,18
2020-04-09,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2850,487,131,310,632,,47,-58,-8,18
2020-04-09,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,921,219,41,96,194,,22,-3,-2,7
2020-04-09,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,4188,910,176,361,946,,239,-37,-13,18
2020-04-08,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2803,545,139,292,469,,89,-62,-4,9
2020-04-08,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,899,222,43,89,142,,23,-6,-1,11
2020-04-08,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3949,947,189,343,733,,100,-105,-8,32
2020-04-07,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2714,607,143,283,371,,41,-32,2,14
2020-04-07,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,876,228,44,78,107,,7,-1,0,8
2020-04-07,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3849,1052,197,311,625,,61,11,-2,13
2020-04-06,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2673,639,141,269,284,,46,-1,1,6
2020-04-06,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,869,229,44,70,85,,17,-15,0,6
2020-04-06,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3788,1041,199,298,561,,87,24,2,12
2020-04-05,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2627,640,140,263,259,,68,-44,-3,18
2020-04-05,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,852,244,44,64,73,,65,2,1,8
2020-04-05,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3701,1017,197,286,480,,146,-34,-3,16
2020-04-04,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2559,684,143,245,214,,114,-56,-1,26
2020-04-04,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,787,242,43,56,56,,47,23,0,6
2020-04-04,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3555,1051,200,270,425,,116,-54,1,28
2020-04-04,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2445,740,144,219,209,,125,-32,3,31
2020-04-03,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,740,219,43,50,35,,43,5,1,5
2020-04-03,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3439,1105,199,242,348,,148,-84,3,32
2020-04-03,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2320,772,141,188,172,,147,-20,8,21
2020-04-02,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,697,214,42,45,28,,37,1,2,3
2020-04-02,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3291,1189,196,210,232,,202,5,4,24
2020-04-01,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2173,792,133,167,62,,152,12,7,20
2020-04-01,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,660,213,40,42,9,,47,-18,0,8
2020-04-01,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,3089,1184,192,186,169,,215,6,2,28
2020-03-31,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,2021,780,126,147,53,,182,66,8,12
2020-03-31,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,613,231,40,34,9,,27,-10,2,2
2020-03-31,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,2874,1178,190,158,138,,189,91,10,15
2020-03-30,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,1839,714,118,135,46,,105,63,14,20
2020-03-30,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,586,241,38,32,9,,44,28,1,7
2020-03-30,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,2685,1087,180,143,130,,177,77,12,116
2020-03-29,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,1734,651,104,115,45,,412,103,6,6
2020-03-29,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,542,213,37,25,8,,93,31,5,4
2020-03-29,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,2508,1010,168,27,108,,245,46,16,-77
2020-03-28,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,1322,548,98,109,20,,229,135,17,18
2020-03-28,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,449,182,32,21,4,,37,13,1,2
2020-03-28,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,2263,964,152,104,68,,236,124,12,16
2020-03-27,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,1093,413,81,91,19,,54,3,9,10
2020-03-27,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,412,169,31,19,4,,39,25,1,5
2020-03-27,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,2027,840,140,88,50,,239,116,12,16
2020-03-26,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,1039,410,72,81,17,,181,62,11,10
2020-03-26,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,373,144,30,14,4,,104,26,7,3
2020-03-26,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,1788,724,128,72,36,,301,119,14,11
2020-03-25,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,858,348,61,71,14,,229,58,14,10
2020-03-25,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,269,118,23,11,2,,40,24,3,3
2020-03-25,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,1487,605,114,61,28,,180,72,20,15
2020-03-24,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,629,290,47,61,12,,26,44,5,11
2020-03-24,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,229,94,20,8,1,,18,14,8,1
2020-03-24,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,1307,533,94,46,24,,223,157,10,9
2020-03-23,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,603,246,42,50,12,,66,37,9,10
2020-03-23,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,211,80,12,7,1,,57,17,2,3
2020-03-23,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,1084,376,84,37,23,,174,58,14,12
2020-03-22,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,537,209,33,40,10,,58,26,6,10
2020-03-22,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,154,63,10,4,1,,30,16,3,2
2020-03-22,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,910,318,70,25,19,,152,72,20,7
2020-03-21,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,479,183,27,30,9,,107,32,3,13
2020-03-21,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,124,47,7,2,1,,20,11,3,1
2020-03-21,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,758,246,50,18,15,,131,55,7,3
2020-03-20,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,372,151,24,17,7,,34,26,0,6
2020-03-20,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,104,36,4,1,1,,45,15,1,0
2020-03-20,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,627,191,43,15,12,,105,38,11,3
2020-03-19,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,338,125,24,11,7,,45,20,7,0
2020-03-19,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,59,21,3,1,1,,5,2,1,0
2020-03-19,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,522,153,32,12,11,,145,25,11,2
2020-03-18,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,293,105,17,11,5,,107,57,-1,11
2020-03-18,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,54,19,2,1,1,,15,13,2,1
2020-03-18,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,377,128,21,10,10,,73,47,12,10
2020-03-17,ES,España,ES-CV,10,Comunidad Valenciana,38.3451691,-0.48149,ES-A,Alicante,186,48,18,,0,,144,48,18,
2020-03-17,ES,España,ES-CV,10,Comunidad Valenciana,39.9856682,-0.04935,ES-CS,Castellón,39,6,0,,0,,26,6,0,
2020-03-17,ES,España,ES-CV,10,Comunidad Valenciana,39.4697495,-0.37739,ES-V,Valencia,304,81,9,,1,,252,81,9,
