fecha,codigoIsoPais,nombrePais,codigoIsoCcaa,codigoIneCcaa,nombreCcaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosAislamiento,casosConfirmadosDiario,casosHospitalizadosDiario,casosUCIDiario,casosFallecidosDiario
2020-04-09,ES,España,ES-EX,11,Extremadura,38.8778915,-6.9706101,ES-BA,Badajoz,760,144,34,48,204,364,29,0,1,5
2020-04-09,ES,España,ES-EX,11,Extremadura,39.4752765,-6.3724247,ES-CC,Cáceres,1513,254,31,235,177,877,20,-3,-2,7
2020-04-08,ES,España,ES-EX,11,Extremadura,40.0726615,-5.7742393,ES-BA,Badajoz,731,144,33,43,186,358,23,-7,1,5
2020-04-08,ES,España,ES-EX,11,Extremadura,40.6700465,-5.1760539,ES-CC,Cáceres,1493,257,33,228,142,826,85,18,1,8
2020-04-07,ES,España,ES-EX,11,Extremadura,41.2674315,-4.5778685,ES-BA,Badajoz,708,151,32,38,169,351,19,-7,0,5
2020-04-07,ES,España,ES-EX,11,Extremadura,41.8648165,-3.9796831,ES-CC,Cáceres,1408,239,32,220,113,829,29,-21,1,25
2020-04-06,ES,España,ES-EX,11,Extremadura,42.4622015,-3.3814977,ES-BA,Badajoz,689,158,32,33,165,305,17,3,-1,1
2020-04-06,ES,España,ES-EX,11,Extremadura,43.0595865,-2.7833123,ES-CC,Cáceres,1379,260,31,195,87,837,4,-2,-2,9
2020-04-05,ES,España,ES-EX,11,Extremadura,43.6569715,-2.1851269,ES-BA,Badajoz,672,155,33,32,130,355,10,22,1,2
2020-04-05,ES,España,ES-EX,11,Extremadura,44.2543565,-1.5869415,ES-CC,Cáceres,1375,262,33,186,85,842,58,6,1,8
2020-04-04,ES,España,ES-EX,11,Extremadura,44.8517415,-0.9887561,ES-BA,Badajoz,662,133,32,30,120,377,17,-23,1,2
2020-04-04,ES,España,ES-EX,11,Extremadura,45.4491265,-0.3905707,ES-CC,Cáceres,1317,256,32,178,85,798,69,-3,-1,6
2020-04-03,ES,España,ES-EX,11,Extremadura,46.0465115,0.2076147,ES-BA,Badajoz,645,156,31,28,107,354,20,11,1,1
2020-04-03,ES,España,ES-EX,11,Extremadura,46.6438965,0.8058001,ES-CC,Cáceres,1248,259,33,172,57,760,36,-8,1,18
2020-04-02,ES,España,ES-EX,11,Extremadura,47.2412815,1.4039855,ES-BA,Badajoz,625,145,30,27,94,359,39,16,1,4
2020-04-02,ES,España,ES-EX,11,Extremadura,47.8386665,2.0021709,ES-CC,Cáceres,1212,267,32,154,45,739,119,24,3,25
2020-04-01,ES,España,ES-EX,11,Extremadura,48.4360515,2.6003563,ES-BA,Badajoz,586,129,29,23,82,352,25,-1,5,3
2020-04-01,ES,España,ES-EX,11,Extremadura,49.0334365,3.1985417,ES-CC,Cáceres,1093,243,29,129,31,690,26,2,2,16
2020-03-31,ES,España,ES-EX,11,Extremadura,49.6308215,3.7967271,ES-BA,Badajoz,561,130,24,20,62,,46,8,6,2
2020-03-31,ES,España,ES-EX,11,Extremadura,50.2282065,4.3949125,ES-CC,Cáceres,1067,241,27,113,29,,22,10,2,25
2020-03-30,ES,España,ES-EX,11,Extremadura,50.8255915,4.9930979,ES-BA,Badajoz,515,122,18,18,49,,50,21,1,1
2020-03-30,ES,España,ES-EX,11,Extremadura,51.4229765,5.5912833,ES-CC,Cáceres,1045,231,25,88,11,,54,19,1,5
2020-03-29,ES,España,ES-EX,11,Extremadura,52.0203615,6.1894687,ES-BA,Badajoz,465,101,17,17,40,,28,-1,-1,6
2020-03-29,ES,España,ES-EX,11,Extremadura,52.6177465,6.7876541,ES-CC,Cáceres,991,212,24,83,11,,34,2,1,6
2020-03-28,ES,España,ES-EX,11,Extremadura,53.2151315,7.3858395,ES-BA,Badajoz,437,102,18,11,38,,47,11,0,1
2020-03-28,ES,España,ES-EX,11,Extremadura,53.8125165,7.9840249,ES-CC,Cáceres,957,210,23,77,11,,116,24,0,18
2020-03-27,ES,España,ES-EX,11,Extremadura,54.4099015,8.5822103,ES-BA,Badajoz,390,91,18,10,27,,61,12,4,2
2020-03-27,ES,España,ES-EX,11,Extremadura,55.0072865,9.1803957,ES-CC,Cáceres,841,186,23,59,4,,201,24,3,9
2020-03-26,ES,España,ES-EX,11,Extremadura,55.6046715,9.7785811,ES-BA,Badajoz,329,79,14,8,20,,72,15,5,4
2020-03-26,ES,España,ES-EX,11,Extremadura,56.2020565,10.3767665,ES-CC,Cáceres,640,162,20,50,4,,155,17,1,15
2020-03-25,ES,España,ES-EX,11,Extremadura,56.7994415,10.9749519,ES-BA,Badajoz,257,64,9,4,5,,40,18,5,1
2020-03-25,ES,España,ES-EX,11,Extremadura,57.3968265,11.5731373,ES-CC,Cáceres,485,145,19,35,3,,66,31,5,11
2020-03-24,ES,España,ES-EX,11,Extremadura,57.9942115,12.1713227,ES-BA,Badajoz,217,46,4,3,5,,49,12,1,2
2020-03-24,ES,España,ES-EX,11,Extremadura,58.5915965,12.7695081,ES-CC,Cáceres,419,114,14,24,3,,94,17,4,7
2020-03-23,ES,España,ES-EX,11,Extremadura,59.1889815,13.3676935,ES-BA,Badajoz,168,34,3,1,4,,28,5,1,0
2020-03-23,ES,España,ES-EX,11,Extremadura,59.7863665,13.9658789,ES-CC,Cáceres,325,97,10,17,2,,66,32,3,4
2020-03-22,ES,España,ES-EX,11,Extremadura,60.3837515,14.5640643,ES-BA,Badajoz,140,29,2,1,4,,29,13,0,0
2020-03-22,ES,España,ES-EX,11,Extremadura,60.9811365,15.1622497,ES-CC,Cáceres,259,65,7,13,2,,16,18,3,2
2020-03-21,ES,España,ES-EX,11,Extremadura,61.5785215,15.7604351,ES-BA,Badajoz,111,16,2,1,4,,20,4,1,1
2020-03-21,ES,España,ES-EX,11,Extremadura,62.1759065,16.3586205,ES-CC,Cáceres,243,47,4,11,2,,37,18,1,1
2020-03-20,ES,España,ES-EX,11,Extremadura,62.7732915,16.9568059,ES-BA,Badajoz,91,12,1,0,4,,14,1,0,0
2020-03-20,ES,España,ES-EX,11,Extremadura,63.3706765,17.5549913,ES-CC,Cáceres,206,29,3,10,2,,42,5,1,1
2020-03-19,ES,España,ES-EX,11,Extremadura,63.9680615,18.1531767,ES-BA,Badajoz,77,11,1,0,4,,16,11,0,0
2020-03-19,ES,España,ES-EX,11,Extremadura,64.5654465,18.7513621,ES-CC,Cáceres,164,24,2,9,2,,31,24,0,1
2020-03-18,ES,España,ES-EX,11,Extremadura,65.1628315,19.3495475,ES-BA,Badajoz,61,,1,0,4,,11,0,0,0
2020-03-18,ES,España,ES-EX,11,Extremadura,65.7602165,19.9477329,ES-CC,Cáceres,133,,2,8,2,,30,0,0,3
2020-03-17,ES,España,ES-EX,11,Extremadura,66.3576015,20.5459183,ES-BA,Badajoz,50,,1,0,3,,11,0,0,0
2020-03-17,ES,España,ES-EX,11,Extremadura,66.9549865,21.1441037,ES-CC,Cáceres,103,,2,5,2,,14,0,1,2
2020-03-16,ES,España,ES-EX,11,Extremadura,67.5523715,21.7422891,ES-BA,Badajoz,39,,1,0,3,,11,0,0,0
2020-03-16,ES,España,ES-EX,11,Extremadura,68.1497565,22.3404745,ES-CC,Cáceres,89,,1,3,2,,22,0,0,0
2020-03-15,ES,España,ES-EX,11,Extremadura,68.7471415,22.9386599,ES-BA,Badajoz,28,,1,0,3,,3,0,0,0
2020-03-15,ES,España,ES-EX,11,Extremadura,69.3445265,23.5368453,ES-CC,Cáceres,67,,1,3,2,,22,0,0,1
2020-03-14,ES,España,ES-EX,11,Extremadura,69.9419115,24.1350307,ES-BA,Badajoz,25,,1,0,3,,14,0,1,0
2020-03-14,ES,España,ES-EX,11,Extremadura,70.5392965,24.7332161,ES-CC,Cáceres,45,,1,2,2,,14,0,0,1
2020-03-13,ES,España,ES-EX,11,Extremadura,71.1366815,25.3314015,ES-BA,Badajoz,11,,0,0,1,,3,0,0,0
2020-03-13,ES,España,ES-EX,11,Extremadura,71.7340665,25.9295869,ES-CC,Cáceres,31,,1,1,2,,14,0,0,0
2020-03-12,ES,España,ES-EX,11,Extremadura,72.3314515,26.5277723,ES-BA,Badajoz,8,,0,0,1,,3,0,0,0
2020-03-12,ES,España,ES-EX,11,Extremadura,72.9288365,27.1259577,ES-CC,Cáceres,17,,1,1,2,,12,0,0,0
2020-03-11,ES,España,ES-EX,11,Extremadura,73.5262215,27.7241431,ES-BA,Badajoz,5,,0,0,0,,0,0,0,0
2020-03-11,ES,España,ES-EX,11,Extremadura,74.1236065,28.3223285,ES-CC,Cáceres,5,,1,1,1,,2,0,1,1
2020-03-10,ES,España,ES-EX,11,Extremadura,74.7209915,28.9205139,ES-BA,Badajoz,5,,0,0,0,,1,0,0,0
2020-03-10,ES,España,ES-EX,11,Extremadura,75.3183765,29.5186993,ES-CC,Cáceres,3,,0,0,1,,0,0,0,0
2020-03-09,ES,España,ES-EX,11,Extremadura,75.9157615,30.1168847,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-09,ES,España,ES-EX,11,Extremadura,76.5131465,30.7150701,ES-CC,Cáceres,3,,0,0,1,,1,0,0,0
2020-03-08,ES,España,ES-EX,11,Extremadura,77.1105315,31.3132555,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-08,ES,España,ES-EX,11,Extremadura,77.7079165,31.9114409,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-07,ES,España,ES-EX,11,Extremadura,78.3053015,32.5096263,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-07,ES,España,ES-EX,11,Extremadura,78.9026865,33.1078117,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-06,ES,España,ES-EX,11,Extremadura,79.5000715,33.7059971,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-06,ES,España,ES-EX,11,Extremadura,80.0974565,34.3041825,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-05,ES,España,ES-EX,11,Extremadura,80.6948415,34.9023679,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-05,ES,España,ES-EX,11,Extremadura,81.2922265,35.5005533,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-04,ES,España,ES-EX,11,Extremadura,81.8896115,36.0987387,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-04,ES,España,ES-EX,11,Extremadura,82.4869965,36.6969241,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-03,ES,España,ES-EX,11,Extremadura,83.0843815,37.2951095,ES-BA,Badajoz,4,,0,0,0,,0,0,0,0
2020-03-03,ES,España,ES-EX,11,Extremadura,83.6817665,37.8932949,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-02,ES,España,ES-EX,11,Extremadura,84.2791515,38.4914803,ES-BA,Badajoz,4,,0,0,0,,2,0,0,0
2020-03-02,ES,España,ES-EX,11,Extremadura,84.8765365,39.0896657,ES-CC,Cáceres,2,,0,0,0,,0,0,0,0
2020-03-01,ES,España,ES-EX,11,Extremadura,85.4739215,39.6878511,ES-BA,Badajoz,2,,0,0,0,,2,0,0,0
2020-03-01,ES,España,ES-EX,11,Extremadura,86.0713065,40.2860365,ES-CC,Cáceres,2,,0,0,0,,2,0,0,0
2020-02-29,ES,España,ES-EX,11,Extremadura,86.6686915,40.8842219,ES-BA,Badajoz,,,,,,,0,0,0,0
2020-02-29,ES,España,ES-EX,11,Extremadura,87.2660765,41.4824073,ES-CC,Cáceres,,,,,,,0,0,0,0
